,Institution Name,City,State,Zip Code,Type,Latitude,Longitude,Number of Undergraduate Students,Average Cost for Academic Year Institution,Average Cost for Program Year Institution,Tuition Fee for In-District Students,Tuition Fee for Out-of-State Students,Admission Rate
3212,South Texas College of Law Houston,Houston,TX,77002-7006,2,29.753171,-95.36455,,,,,,
3213,South Texas Vocational Technical Institute-Weslaco,Weslaco,TX,78599,3,26.176606,-98.006077,409.0,,24470.0,,,
3214,Miller-Motte College-STVT-McAllen,McAllen,TX,78503,3,26.188539,-98.238293,482.0,,21936.0,,,
3215,Southern Methodist University,Dallas,TX,75275-0221,2,32.843612,-96.783365,7044.0,79885.0,,61980.0,61980.0,0.5225
3216,Southwest School of Business and Technical Careers-San Antonio,San Antonio,TX,78221-0138,3,29.357965,-98.49583,18.0,,26887.0,,,
3217,Southwest Texas Junior College,Uvalde,TX,78801-6297,1,29.219671,-99.741237,3099.0,13163.0,,2502.0,5886.0,
3218,Southwestern Assemblies of God University,Waxahachie,TX,75165,2,32.40443,-96.853492,1435.0,31917.0,,17782.0,17782.0,0.8565
3219,Southwestern University,Georgetown,TX,78626,2,30.634341,-97.665738,1480.0,61668.0,,48650.0,48650.0,0.4479
3220,Stephen F Austin State University,Nacogdoches,TX,75961,1,31.621056,-94.64908,8961.0,24402.0,,10600.0,21616.0,0.8951
3221,Texas State University,San Marcos,TX,78666,1,29.888885,-97.943029,33834.0,25797.0,,11135.0,22559.0,0.877
3222,Southwestern Adventist University,Keene,TX,76059,2,32.397617,-97.32702,659.0,34060.0,,24060.0,24060.0,0.5362
3223,Southwestern Christian College,Terrell,TX,75160-4812,2,32.735508,-96.285649,84.0,16554.0,,12030.0,12030.0,
3224,Sul Ross State University,Alpine,TX,79832,1,30.363139,-103.651469,1495.0,22434.0,,7649.0,17441.0,0.9707
3225,Tarleton State University,Stephenville,TX,76401-0000,1,32.217805,-98.219039,11880.0,22286.0,,7848.0,17640.0,0.8706
3226,Tarrant County College District,Fort Worth,TX,76102,1,32.757362,-97.337149,38915.0,11554.0,,1728.0,8235.0,
3227,Temple College,Temple,TX,76504-7435,1,31.070715,-97.350471,3198.0,10093.0,,2880.0,6576.0,
3228,University of Texas Southwestern Medical Center,Dallas,TX,75390-9096,1,32.812307,-96.841156,,,,,,
3229,The University of Texas Health Science Center at San Antonio,San Antonio,TX,78229-3900,1,29.508107,-98.575655,785.0,,,,,
3230,The University of Texas Medical Branch at Galveston,Galveston,TX,77555-0129,1,29.310758,-94.775956,585.0,,,,,
3231,Texarkana College,Texarkana,TX,75599,1,33.441868,-94.078,1635.0,12984.0,,2476.0,5332.0,
3232,Texas A & M University-Kingsville,Kingsville,TX,78363,1,27.525168,-97.882387,4562.0,22081.0,,9892.0,25746.0,0.9655
3233,Texas A & M University-College Station,College Station,TX,77843-1246,1,30.618726,-96.336475,56792.0,31451.0,,13239.0,40139.0,0.6265
3234,The University of Texas at Arlington,Arlington,TX,76013,1,32.729718,-97.11296,30503.0,24530.0,,11727.0,29299.0,0.808
3235,The University of Texas at Austin,Austin,TX,78705,1,30.282825,-97.738273,40980.0,29361.0,,11698.0,41070.0,0.3135
3236,The University of Texas at Dallas,Richardson,TX,75080-3021,1,32.984673,-96.749702,21586.0,28456.0,,14564.0,39776.0,0.8474
3237,The University of Texas at El Paso,El Paso,TX,79968-0691,1,31.77015,-106.504098,20123.0,19344.0,,9744.0,25152.0,0.9992
3238,The University of Texas at Tyler,Tyler,TX,75799-6699,1,32.315772,-95.254337,6568.0,22535.0,,9855.0,25693.0,0.9387
3239,Texas Chiropractic College Foundation Inc,Pasadena,TX,77505-1699,2,29.663702,-95.150135,,,,,,
3240,Texas Christian University,Fort Worth,TX,76129,2,32.70961,-97.364758,10510.0,71425.0,,53980.0,53980.0,0.561
3241,Texas College,Tyler,TX,75702,2,32.37456,-95.312454,642.0,21437.0,,10008.0,10008.0,
3242,University of North Texas Health Science Center,Fort Worth,TX,76107-2699,1,32.749907,-97.369138,5.0,,,,,
3243,Texas Lutheran University,Seguin,TX,78155-5999,2,29.573261,-97.982669,1307.0,45182.0,,33920.0,33920.0,0.9183
3244,The University of Texas Permian Basin,Odessa,TX,79762-0001,1,31.889509,-102.329634,4060.0,22113.0,,9234.0,21474.0,0.9471
3245,The University of Texas at San Antonio,San Antonio,TX,78249-1644,1,29.583709,-98.620657,29112.0,21660.0,,8945.0,21253.0,0.869
3246,Texas Southern University,Houston,TX,77004,1,29.721046,-95.361113,6830.0,24679.0,,9173.0,21413.0,0.968
3247,Texas Tech University,Lubbock,TX,79409-5005,1,33.583448,-101.874783,32346.0,27249.0,,11852.0,24122.0,0.6734
3248,Texas Wesleyan University,Fort Worth,TX,76105-1536,2,32.732962,-97.279613,1549.0,43598.0,,36128.0,36128.0,0.6093
3249,Texas Woman's University,Denton,TX,76204,1,33.226211,-97.127842,8876.0,20019.0,,8311.0,18103.0,0.9363
3250,Trinity University,San Antonio,TX,78212-7200,2,29.462682,-98.48186,2491.0,63684.0,,49264.0,49264.0,0.3051
3251,The University of Texas Health Science Center at Houston,Houston,TX,77030,1,29.702873,-95.403183,554.0,,,,,
3252,Texas Tech University Health Sciences Center,Lubbock,TX,79430,1,33.589284,-101.891915,1448.0,,,,,
3253,Tyler Junior College,Tyler,TX,75701,1,32.33601,-95.284122,9045.0,16240.0,,2962.0,5482.0,
3254,Universal Technical Institute of Texas Inc.,Houston,TX,77073,3,29.990487,-95.412113,1845.0,,24601.0,,,
3255,UCAS University of Cosmetology Arts & Sciences-McAllen,McAllen,TX,78504,3,26.279439,-98.21787,124.0,,18202.0,,,
3256,Vernon College,Vernon,TX,76384-4092,1,34.159298,-99.319094,1937.0,13316.0,,4080.0,6480.0,
3257,Victoria Beauty & Barber College,Victoria,TX,77901-6233,3,28.807928,-96.990854,94.0,,17475.0,,,
3258,Victoria College,Victoria,TX,77901,1,28.816446,-96.979226,2346.0,10922.0,,2712.0,5112.0,
3259,Vogue College of Cosmetology-McAllen,McAllen,TX,78501-1945,3,26.232656,-98.223022,305.0,,30130.0,,,
3260,Wayland Baptist University,Plainview,TX,79072,2,34.187677,-101.730042,2138.0,34453.0,,22368.0,22368.0,0.6972
3261,Weatherford College,Weatherford,TX,76086-5699,1,32.74133,-97.792629,3604.0,14900.0,,4020.0,8610.0,
3262,West Texas A & M University,Canyon,TX,79016-0001,1,34.982789,-101.914736,6828.0,22672.0,,9101.0,10996.0,0.9163
3263,Western Texas College,Snyder,TX,79549,1,32.678458,-100.914945,487.0,11535.0,,3030.0,5460.0,
3264,Wharton County Junior College,Wharton,TX,77488,1,29.3238,-96.085815,4757.0,10303.0,,2520.0,5048.0,
3265,Wiley College,Marshall,TX,75670,2,32.537641,-94.376814,698.0,20235.0,,13500.0,13500.0,
3633,Parker University,Dallas,TX,75229-5668,2,32.880335,-96.893564,411.0,31277.0,,15718.0,15718.0,
3657,Houston Graduate School of Theology,Houston,TX,77035-3602,2,29.673594,-95.448846,,,,,,
3658,Palo Alto College,San Antonio,TX,78224-2499,1,29.322955,-98.543468,7756.0,10756.0,,3262.0,14272.0,
3659,Sebring Career Schools-Huntsville,Huntsville,TX,77340,3,30.702549,-95.549878,15.0,,23160.0,,,
3660,UCAS University of Cosmetology Arts & Sciences-San Antonio 410,San Antonio,TX,78201,3,29.493246,-98.551137,68.0,,21963.0,,,
3661,Central Texas Beauty College-Round Rock,Round Rock,TX,78664-4604,3,30.520723,-97.685077,106.0,,12540.0,,,
3675,Collin County Community College District,McKinney,TX,75069,1,33.16241,-96.63894,25111.0,13193.0,,1864.0,5614.0,
3683,Ogle School Hair Skin Nails-Hurst,Hurst,TX,76053-4650,3,32.822035,-97.201403,227.0,,23076.0,,,
3687,Paul Mitchell the School-Houston,Houston,TX,77043,3,29.785868,-95.559723,330.0,,22573.0,,,
3758,Commonwealth Institute of Funeral Service,Houston,TX,77090-5918,2,29.989545,-95.430153,275.0,35230.0,,15313.0,15313.0,
3780,Interactive College of Technology,Houston,TX,77063,3,29.734143,-95.539975,90.0,19325.0,,10730.0,10730.0,
3793,Seguin Beauty School-New Braunfels,New Braunfels,TX,78130,3,29.70187,-98.125943,0.0,,21360.0,,,
3807,Northwest Educational Center,Houston,TX,77092,3,29.813796,-95.473149,69.0,,16558.0,,,
3808,PCI Health Training Center,Dallas,TX,75247-4720,3,32.82007,-96.876316,282.0,,22633.0,,,
3858,Remington College-Fort Worth Campus,Fort Worth,TX,76112-1225,2,32.776152,-97.213702,181.0,29995.0,,19258.0,19258.0,
3859,UCAS University of Cosmetology Arts & Sciences,San Antonio,TX,78214,3,29.354354,-98.484836,28.0,,,,,
3860,School of Automotive Machinists & Technology,Houston,TX,77055-1803,3,29.805166,-95.476017,125.0,,30723.0,,,0.7705
3861,Nuvani Institute,San Antonio,TX,78212-1901,3,29.457062,-98.498977,17.0,,24600.0,,,
3862,Nuvani Institute,Eagle Pass,TX,78852-4859,3,28.707864,-100.506009,71.0,,24022.0,,,
3863,Texas College of Cosmetology-Abilene,Abilene,TX,79605,3,32.448891,-99.747159,75.0,,21619.0,,,
3880,College of Health Care Professions,Houston,TX,77054,3,29.678462,-95.420012,365.0,,31685.0,,,
3881,Center for Advanced Legal Studies,Houston,TX,77042-1912,3,29.75302,-95.558831,218.0,,16859.0,,,
3882,Houston Training School-Main Campus,Houston,TX,77029,3,29.77291,-95.24417,268.0,,11503.0,,,
3892,Ogle School Hair Skin Nails-Dallas,Dallas,TX,75214-2389,3,32.836833,-96.754693,390.0,,23597.0,,,
3901,Southwest College for the Deaf,Big Spring,TX,79720-7298,1,32.226498,-101.50294,54.0,14324.0,,2720.0,14000.0,
3912,Central Texas Beauty College-Temple,Temple,TX,76504-6948,3,31.084871,-97.379234,134.0,,12265.0,,,
3931,College of Biblical Studies-Houston,Houston,TX,77036-3211,2,29.716676,-95.506559,205.0,16729.0,,7475.0,9275.0,
3936,The College of Health Care Professions-Northwest,Houston,TX,77092,3,29.836247,-95.485204,3201.0,,36625.0,,,
3938,Fortis College,Houston,TX,77082,3,29.732861,-95.64832,258.0,,34707.0,,,
3954,Tri-State Cosmetology Institute,El Paso,TX,79935,3,31.749969,-106.3372,146.0,,20788.0,,,
3967,Southern Careers Institute-Corpus Christi,Corpus Christi,TX,78414,3,27.68504,-97.363145,470.0,,28423.0,,,
3971,Galen College of Nursing-San Antonio,San Antonio,TX,78229,3,29.507685,-98.585653,3163.0,,,,,
3994,UCAS University of Cosmetology Arts & Sciences-Harlingen,Harlingen,TX,78550-5034,3,26.20168,-97.684044,60.0,,21292.0,,,
4000,Southern Careers Institute-Pharr,Pharr,TX,78577,3,26.211217,-98.201038,645.0,,28830.0,,,
4008,South Texas College,McAllen,TX,78501,1,26.217591,-98.253634,17846.0,7764.0,,4230.0,7500.0,
4032,Baldwin Beauty School-North Austin,Austin,TX,78757-7068,3,30.365855,-97.729371,105.0,,19281.0,,,
4044,The University of Texas MD Anderson Cancer Center,Houston,TX,77030-4009,1,29.707016,-95.396804,337.0,,,,,
4063,Messenger College,Bedford,TX,76021,2,32.85076,-97.161015,19.0,23025.0,,11040.0,11040.0,0.5
4107,Pipo Academy of Hair Design,El Paso,TX,79903,3,31.78446,-106.459711,14.0,,10864.0,,,
4108,Tint School of Makeup and Cosmetology-Dallas,Grand Prairie,TX,75051,3,32.708337,-97.001678,103.0,,23322.0,,,
4121,Texas College of Cosmetology-San Angelo,San Angelo,TX,76904,3,31.420928,-100.47194,85.0,,21466.0,,,
4133,Northwest Vista College,San Antonio,TX,78251,1,29.471308,-98.70513,12964.0,11019.0,,3262.0,14272.0,
4139,Bakke Graduate University,Dallas,TX,75243-7039,2,32.894605,-96.753976,,,,,,
4156,Mid Cities Barber College,Grand Prairie,TX,75051-4892,3,32.710329,-97.006955,32.0,,15628.0,,,
4175,American College of Acupuncture and Oriental Med,Houston,TX,77063-4104,3,29.735747,-95.524765,,,,,,
4176,AOMA Graduate School of Integrative Medicine,Austin,TX,78745,3,30.228551,-97.800643,,,,,,
4180,Southern Careers Institute-San Antonio,San Antonio,TX,78221,3,29.355774,-98.494238,611.0,,27171.0,,,
4186,Texas Health and Science University,Austin,TX,78704,3,30.233143,-97.785289,23.0,,,,,
4201,International Beauty College,Garland,TX,75040-3294,3,32.945805,-96.645638,68.0,,18750.0,,,
4207,CET-El Paso,El Paso,TX,79907,2,31.696199,-106.323115,72.0,,21925.0,,,
4226,Academy of Hair Design-Lufkin,Lufkin,TX,75904,3,31.330724,-94.718704,82.0,,17194.0,,,
4227,Pathway Vocational Academy,Beaumont,TX,77701-4650,3,30.067103,-94.122709,49.0,,22324.0,,,
4254,Toni & Guy Hairdressing Academy-Plano,Plano,TX,75093,3,33.026159,-96.797544,113.0,,26242.0,,,
4262,Advanced Barber College and Hair Design,Weslaco,TX,78596,3,26.131543,-97.958247,134.0,,26642.0,,,
