,Unnamed: 0,Institution Name,City,State,Zip Code,zip,Type,Latitude,Longitude,Number of Undergraduate Students,Average Cost for Academic Year Institution,Average Cost for Program Year Institution,Tuition Fee for In-District Students,Tuition Fee for Out-of-State Students,Admission Rate,county,Median Income,Total Count,Below Poverty,Above Poverty,Poverty Rate
65,65,University of the Incarnate Word,San Antonio,TX,78209,78209,Private for Profit,29.46708,-98.46583,4547.0,45505.0,,34400.0,34400.0,0.942,Bexar,67275,1977132,299972,1677160,15.172077534529812
66,66,Jacksonville College-Main Campus,Jacksonville,TX,75766-4759,75766,Private for Profit,31.965846,-95.281311,210.0,18410.0,,7150.0,7150.0,,Cherokee,56971,47337,7847,39490,16.576884889198723
67,67,Jarvis Christian University,Hawkins,TX,75765-1470,75765,Private for Profit,32.587942,-95.181513,729.0,25149.0,,11720.0,11720.0,,Wood,61748,43538,5497,38041,12.625752216454591
68,68,KD Conservatory College of Film and Dramatic Arts,Dallas,TX,75207,75207,Private Non-Profit,32.808265,-96.841975,102.0,29143.0,,16850.0,16850.0,0.8621,Dallas,70732,2573799,359882,2213917,13.982521556656131
69,69,Kilgore College,Kilgore,TX,75662-3299,75662,Public,32.377821,-94.871468,3183.0,14445.0,,2160.0,5256.0,,Gregg,63811,120323,19907,100416,16.544634026744678
70,70,Lamar University,Beaumont,TX,77705,77705,Public,30.042738,-94.072244,8075.0,21570.0,,8690.0,18482.0,0.8373,Jefferson,57294,239089,43498,195591,18.193225117006637
71,71,Lamar State College-Orange,Orange,TX,77630,77630,Public,30.0922,-93.732235,1446.0,7872.0,,2832.0,13824.0,,Orange,71910,83847,9995,73852,11.92052190298997
72,72,Lamar State College-Port Arthur,Port Arthur,TX,77640,77640,Public,29.880385,-93.925886,2567.0,9993.0,,1770.0,7890.0,,Jefferson,57294,239089,43498,195591,18.193225117006637
73,73,Laredo Beauty College Inc,Laredo,TX,78040,78040,Private Non-Profit,27.523791,-99.480788,122.0,,10330.0,,,,Webb,59984,264040,56471,207569,21.38728980457506
74,74,Laredo College,Laredo,TX,78040-4395,78040,Public,27.506477,-99.520772,7564.0,11257.0,,3300.0,5748.0,,Webb,59984,264040,56471,207569,21.38728980457506
75,75,Texas A & M International University,Laredo,TX,78041-1900,78041,Public,27.571172,-99.436043,6459.0,16313.0,,7846.0,19382.0,0.4788,Webb,59984,264040,56471,207569,21.38728980457506
76,76,Lee College,Baytown,TX,77520,77520,Public,29.732505,-94.978184,7726.0,12303.0,,2166.0,4302.0,,Harris,70789,4677056,737681,3939375,15.772336273074345
77,77,LeTourneau University,Longview,TX,75602,75602,Private for Profit,32.46632,-94.726394,1553.0,47233.0,,34470.0,34470.0,0.4883,Gregg,63811,120323,19907,100416,16.544634026744678
78,78,Lincoln College of Technology-Grand Prairie,Grand Prairie,TX,75052,75052,Private Non-Profit,32.701684,-97.056391,1212.0,,38049.0,,,,Dallas,70732,2573799,359882,2213917,13.982521556656131
79,79,Lubbock Christian University,Lubbock,TX,79407-2099,79407,Private for Profit,33.575973,-101.934426,1221.0,38261.0,,26300.0,26300.0,0.8159,Lubbock,61911,298979,51472,247507,17.215924864288127
80,80,College of the Mainland,Texas City,TX,77591-2499,77591,Public,29.39581,-94.999602,3161.0,7878.0,,1773.0,3873.0,,Galveston,83913,344758,37987,306771,11.018453523921128
81,81,University of Mary Hardin-Baylor,Belton,TX,76513-2599,76513,Private for Profit,31.066793,-97.463471,3013.0,45330.0,,31950.0,31950.0,0.9567,Bell,62858,360787,52988,307799,14.68678195167786
82,82,McLennan Community College,Waco,TX,76708,76708,Public,31.58947,-97.171228,4979.0,12904.0,,3660.0,5910.0,,McLennan,59781,250840,44851,205989,17.88032211768458
83,83,McMurry University,Abilene,TX,79697,79697,Private for Profit,32.429776,-99.748682,1092.0,42284.0,,30422.0,30422.0,0.565,Taylor,61806,136790,19947,116843,14.582206301630237
84,84,Covenant School of Nursing and Allied Health,Lubbock,TX,79407,79407,Private for Profit,33.5757,-101.937872,336.0,,,,,,Lubbock,61911,298979,51472,247507,17.215924864288127
85,85,Midland College,Midland,TX,79705,79705,Public,32.029646,-102.106153,4737.0,13025.0,,2970.0,5880.0,,Midland,90123,167587,18020,149567,10.75262401021559
86,86,Midwestern State University,Wichita Falls,TX,76308-2099,76308,Public,33.874809,-98.519386,4421.0,21876.0,,10233.0,12183.0,0.9243,Wichita,58862,117321,18483,98838,15.754212800777353
87,87,William Edge Institute,New Braunfels,TX,78130-8216,78130,Private Non-Profit,29.698282,-98.100952,39.0,,18652.0,,,,Comal,93744,163887,9998,153889,6.100544887635993
88,88,Wade College,Dallas,TX,75207,75207,Private Non-Profit,32.800854,-96.819516,157.0,24054.0,,17132.0,17132.0,,Dallas,70732,2573799,359882,2213917,13.982521556656131
89,89,Southern Careers Institute-Austin,Austin,TX,78744,78744,Private Non-Profit,30.226743,-97.784318,1070.0,,25099.0,,,,Travis,92731,1262697,142451,1120246,11.281487165963014
90,90,Tint School of Makeup & Cosmetology,Irving,TX,75061-4235,75061,Private Non-Profit,32.829511,-96.983082,57.0,,21701.0,,,,Dallas,70732,2573799,359882,2213917,13.982521556656131
91,91,Navarro College,Corsicana,TX,75110,75110,Public,32.076061,-96.498731,6277.0,16988.0,,2798.0,6368.0,,Navarro,56261,51662,8502,43160,16.45697030699547
92,92,Lone Star College System,The Woodlands,TX,77381-4399,77381,Public,30.18737,-95.488103,47486.0,14800.0,,2880.0,8070.0,,Montgomery,95946,626227,55202,571025,8.815014363800985
93,93,University of North Texas,Denton,TX,76203-1277,76203,Public,33.211178,-97.148422,33023.0,24696.0,,11140.0,20932.0,0.7913,Denton,104180,903074,66977,836097,7.416557225653711
94,94,Northeast Texas Community College,Mount Pleasant,TX,75455,75455,Public,33.104931,-94.881855,1932.0,15775.0,,3149.0,6449.0,,Titus,57634,30946,5674,25272,18.335164480062044
95,95,Oblate School of Theology,San Antonio,TX,78216-6693,78216,Private for Profit,29.505434,-98.503113,,,,,,,Bexar,67275,1977132,299972,1677160,15.172077534529812
96,96,Ocean Corporation,Houston,TX,77099,77099,Private Non-Profit,29.665467,-95.57034,176.0,,33018.0,,,,Harris,70789,4677056,737681,3939375,15.772336273074345
97,97,Odessa College,Odessa,TX,79764,79764,Public,31.866812,-102.383477,4296.0,12820.0,,2400.0,4566.0,,Ector,70566,160274,25297,134977,15.783595592547762
98,98,Ogle School Hair Skin Nails-Arlington,Arlington,TX,76013,76013,Private Non-Profit,32.720698,-97.140906,324.0,,23616.0,,,,Tarrant,78872,2083760,229643,1854117,11.02060697969056
99,99,Ogle School Hair Skin Nails-Ft Worth,Fort Worth,TX,76132-3638,76132,Private Non-Profit,32.681742,-97.417657,446.0,,22834.0,,,,Tarrant,78872,2083760,229643,1854117,11.02060697969056
100,100,Our Lady of the Lake University,San Antonio,TX,78207-4689,78207,Private for Profit,29.426194,-98.54365,1163.0,40626.0,,31124.0,31124.0,,Bexar,67275,1977132,299972,1677160,15.172077534529812
101,101,The University of Texas Rio Grande Valley,Edinburg,TX,78539-2999,78539,Public,26.306759,-98.173567,26420.0,17988.0,,9538.0,19333.0,0.877,Hidalgo,49371,863824,239276,624548,27.69962399748097
102,102,Texas Southmost College,Brownsville,TX,78520,78520,Public,25.899628,-97.492241,3644.0,11204.0,,3148.0,4948.0,,Cameron,47435,418955,106182,312773,25.34448807151126
103,103,Panola College,Carthage,TX,75633-2397,75633,Public,32.156214,-94.356355,1489.0,13246.0,,2208.0,4896.0,,Panola,58205,22030,3078,18952,13.971856559237402
104,104,Paris Junior College,Paris,TX,75460,75460,Public,33.650929,-95.529177,2339.0,12659.0,,2520.0,5520.0,,Lamar,58246,49447,7892,41555,15.960523388678787
105,105,Paul Quinn College,Dallas,TX,75241,75241,Private for Profit,32.678837,-96.755778,938.0,21678.0,,13798.0,13798.0,0.5728,Dallas,70732,2573799,359882,2213917,13.982521556656131
106,106,Prairie View A & M University,Prairie View,TX,77446,77446,Public,30.092425,-95.989475,8103.0,25775.0,,11299.0,26874.0,0.7607,Waller,71643,52888,6890,45998,13.027529874451671
107,107,Ranger College,Ranger,TX,76470,76470,Public,32.456773,-98.685215,2104.0,13399.0,,4600.0,8350.0,,Eastland,52902,16910,2738,14172,16.191602602010644
